Residence,Korea - Urban,Korea - Rural,Korea - Total,Surguja - Rural,Surguja - Total,Jashpur - Rural,Jashpur - Total,Raigarh - Rural,Raigarh - Total,Korba - Urban,Korba - Rural,Korba - Total,Janjgir - Champa - Rural,Janjgir - Champa - Total,Bilaspur - Rural,Bilaspur - Total,Kabirdham - Rural,Kabirdham - Total,Rajnandgaon - Rural,Rajnandgaon - Total,Durg - Urban,Durg - Rural,Durg - Total,Raipur - Urban,Raipur - Rural,Raipur - Total,Mahasamund - Rural,Mahasamund - Total,Dhamtari - Rural,Dhamtari - Total,Uttar Bastar Kanker - Rural,Uttar Bastar Kanker - Total,Bastar - Rural,Bastar - Total,Narayanpur - Rural,Narayanpur - Total,Dakshin Bastar Dantewada - Rural,Dakshin Bastar Dantewada - Total,Bijapur - Rural,Bijapur - Total,Note of Korea - Urban,Note of Korea - Rural,Note of Korea - Total,Note of Surguja - Rural,Note of Surguja - Total,Note of Jashpur - Rural,Note of Jashpur - Total,Note of Raigarh - Rural,Note of Raigarh - Total,Note of Korba - Urban,Note of Korba - Rural,Note of Korba - Total,Note of Janjgir - Champa - Rural,Note of Janjgir - Champa - Total,Note of Bilaspur - Rural,Note of Bilaspur - Total,Note of Kabirdham - Rural,Note of Kabirdham - Total,Note of Rajnandgaon - Rural,Note of Rajnandgaon - Total,Note of Durg - Urban,Note of Durg - Rural,Note of Durg - Total,Note of Raipur - Urban,Note of Raipur - Rural,Note of Raipur - Total,Note of Mahasamund - Rural,Note of Mahasamund - Total,Note of Dhamtari - Rural,Note of Dhamtari - Total,Note of Uttar Bastar Kanker - Rural,Note of Uttar Bastar Kanker - Total,Note of Bastar - Rural,Note of Bastar - Total,Note of Narayanpur - Rural,Note of Narayanpur - Total,Note of Dakshin Bastar Dantewada - Rural,Note of Dakshin Bastar Dantewada - Total,Note of Bijapur - Rural,Note of Bijapur - Total
82. Blood sugar level - very high (>160 mg/dl) (%),3.13,2.03,2.38,1.14,1.23,1.72,1.67,4.89,4.58,3.63,2.68,3.04,2.99,3.27,1.97,1.83,2.63,2.8,2.24,2.32,4.11,3.68,3.86,3.14,1.83,2.32,3.16,3.02,1.95,1.91,1.93,2.31,1.66,2.05,1.79,2.58,2.19,2.22,2.03,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83. Blood sugar level - high (>140 mg/dl) (%),3.89,4.2,4.11,7.04,6.65,10.64,11.02,15.22,15.82,11.54,8.3,9.36,9.21,8.89,0.73,4.71,7.77,7.65,3.77,5.52,14.04,10.18,11.71,14.74,11.34,12.61,12.8,12.95,10.88,11.64,12.65,12.93,9.02,10.22,6.98,8.11,7,7.39,4.41,5.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84. Blood sugar level - very high (>160 mg/dl) (%),1.75,1.98,1.91,1.56,1.82,6.66,5.93,5.48,6.23,8.09,3.03,4.68,2.84,2.36,0,3.16,5.21,5.38,2.03,1.61,7.41,4.66,5.75,9.38,5.43,6.91,8.49,8.23,6.34,5.19,4.4,5.26,3.66,5.08,1.75,1.39,1.74,1.87,1.41,1.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85. Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),9.01,8.91,8.94,14.42,13.46,9.11,8.84,11.42,10.94,7.31,8.26,7.89,5.88,6.14,4.68,5.23,4.29,4.85,3.45,4.07,6.33,4.99,5.55,5.45,5.45,5.45,5.76,5.56,5.7,5.5,5.38,5.63,7.15,7.42,3.7,4.2,7.74,7.51,5.41,5.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86. Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),1.95,1.95,1.95,2.86,2.61,2.41,2.37,2.32,2.18,2.09,1.65,1.82,0.63,0.53,0.44,0.32,1.46,1.4,0.89,0.8,2.01,1.04,1.44,1.89,0.75,1.18,0.96,1.01,1.42,1.35,1.56,1.47,1.26,1.42,0.72,0.6,1.09,1.16,0.08,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87. Very high (Systolic ?180 mm of Hg and/or Diastolic ?110 mm of Hg) (%),0.68,1.47,1.22,1.77,1.56,1.19,1.19,0.62,0.6,0.35,0.98,0.74,0.63,0.53,0.34,0.59,0.41,0.46,0.28,0.23,1.05,0.34,0.63,0.29,0.78,0.59,0.71,0.72,0.68,0.8,0.71,0.63,1.15,0.99,0.59,0.73,1.01,0.83,0.3,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88. Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),12.26,9.52,10.35,15.26,15.41,10.85,12.2,14.14,15.54,14.51,14.59,14.56,10.01,10.33,4.41,4.06,8,9.94,2.85,2.27,15.3,6.66,10.1,11.04,7.59,8.88,7.85,8.23,6.03,6.38,10.28,11.65,7.48,7.56,8.19,7.04,9.41,11.15,11.63,10.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89. Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),1.61,0.48,0.82,1.55,2.93,3.33,3.52,2.5,4.89,3.08,3.74,3.52,2.15,2.24,0.77,2.47,1.05,1.69,0,0,7.3,0.41,3.15,0.81,2.91,2.13,0.67,1.09,0.73,1.65,2.47,2.12,1.47,1.22,0,0,0,0,1.42,1.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90. Very high (Systolic ?180 mm of Hg and/or Diastolic ?110 mm of Hg) (%),1.07,1.52,1.38,0.8,0.7,0.8,0.71,0,0.6,1.4,1.19,1.26,0.73,0.61,0,0.5,0,0.66,0.53,0.42,2.2,0,0.88,3.86,0.77,1.92,1.77,1.51,0.68,0.56,0.93,0.8,0,0.71,0.56,0.44,0,0.69,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91. Cervix (%),16.97,13.37,14.51,13.59,15.37,8.87,9.56,20.04,20.39,23.88,19.19,20.99,8.75,9.74,22.93,25.63,16.09,17.47,23.2,24.32,23.12,30.07,27.19,11.67,13.41,12.75,11.68,11.48,14.35,13.91,7.58,7.69,11.11,12.3,13.55,14.24,8.14,9.25,12.28,13.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92. Breast (%),6.34,7.21,6.94,8.43,8.43,6.16,6.79,12.73,12.74,11.12,10.52,10.75,2.49,2.92,9.05,9.26,9.21,9.82,8.7,9.09,8.91,12.05,10.75,4.47,5.01,4.81,4.4,4.59,4.82,4.66,3.05,3.52,2.33,2.28,4.89,4.88,2.5,2.7,4.53,4.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93. Oral cavity (%),8.31,6.81,7.28,5.76,7.12,6.48,6.98,7.29,7.44,10.99,7.86,9.06,3.61,3.61,9.78,12.11,5.58,5.71,8.68,9.66,11.43,17.33,14.88,8.48,7.03,7.58,4.98,5.55,4.98,4.99,9.09,8.63,2.36,2.37,6.38,5.56,1.85,1.94,4.29,4.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
